Time,Open,High,Low,Close,Volume,Count,Wap
20170719,141.61,143.25,141.55,143.2,40786.43,14614,142.832
20170720,143.27,143.52,142.8,143.2,39111.66,15942,143.204
20170721,143.43,143.43,142.25,142.48,52195.6,17567,142.672
20170724,142.01,142.84,141.86,142.65,32933.53,11664,142.362
20170725,142.77,144.24,142.77,144.08,55685,15509,143.909
20170726,144.05,144.27,143.05,143.33,35397.02,13523,143.529
20170727,143.59,143.68,141.55,142.14,55399.02,20947,142.591
20170728,141.8,142.35,141.09,142.09,46366.52,15905,141.899
20170731,142.09,142.38,140.97,141.5,35186.32,13826,141.521
20170801,141.83,142.24,140.97,141.93,43811.49,14326,141.656
20170802,141.68,141.81,139.73,140.21,51175.01,18047,140.458
20170803,139.94,140.54,139.17,139.54,48245.64,17500,139.792
20170804,139.56,140.33,139.49,140.21,29935.38,12091,140.088
20170807,140.47,140.85,139.72,140.42,22768.33,9514,140.369
20170808,140.37,141.78,139.7,139.81,65273.36,23698,140.636
20170809,139.5,139.5,138.29,138.89,59281.55,22000,138.837
20170810,138.56,138.56,135.7,136.04,85347.76,34872,137.004
20170811,135.64,136.74,135.57,136.54,54303.25,21841,136.32
20170814,137.37,138.71,137.23,138.71,57133.18,17459,138.245
20170815,138.72,138.95,137.3,137.3,38102,14920,137.777
20170816,137.78,138.38,137.21,137.22,46646.5,14932,137.664
20170817,137.19,137.68,134.41,134.55,69053.04,27936,136.132
20170818,134.38,135.46,134.12,134.89,88521.5,31569,134.828
20170821,134.8,135.16,134.14,134.89,37498.8,14382,134.723
20170822,135.19,136.43,134.98,136.25,54664.29,19725,135.938
20170823,136.06,136.57,135.22,135.62,36735.4,13232,136.052
20170824,136.06,136.93,136.02,136.67,46452.01,14717,136.512
20170825,136.52,137.3,136.39,136.63,41923.65,13828,136.87
20170828,136.98,137.61,136.25,136.6,38896.9,11293,137.278
20170829,136.32,137.81,136.08,137.6,45241.38,14568,137.268
20170830,137.82,138.51,137.2,138.36,35758.11,15034,138.083
20170831,138.49,139.93,138.49,139.82,55437.46,20748,139.495
20170901,139.79,140.68,139.7,140.54,47733.04,13105,140.311
20170905,140.5,141.1,138.59,139.35,50402.48,20526,139.593
20170906,139.39,139.98,139.09,139.1,38557.51,18052,139.543
20170907,139.18,139.68,138.59,139.01,33674.18,14170,139.072
20170908,138.72,139.77,138.62,139.43,45586.5,15146,139.235
20170911,140.43,140.91,140.22,140.85,51321.15,18748,140.632
20170912,140.98,141.69,140.82,141.64,45147.77,16100,141.375
20170913,141.4,142.21,141.31,141.79,45035.52,17058,141.917
20170914,141.85,142.16,141.37,141.37,39208.25,13335,141.798
20170915,141.94,142.73,141.53,142.64,51468.42,16465,142.188
20170918,142.88,143.8,142.55,143.54,44551.34,18881,143.345
20170919,143.54,143.68,143.09,143.3,38768.67,12136,143.353
20170920,143.45,144.05,143.26,143.99,47101.57,16660,143.769
20170921,143.82,144.26,143.48,143.68,26718.7,10942,143.842
20170922,143.52,144.59,143.52,144.41,40397.18,16171,144.282
20170925,144.45,144.94,143.69,144.64,62708.47,21808,144.35
20170926,144.26,145.15,144.09,144.79,42270.57,16784,144.695
20170927,145.01,147.85,144.91,147.52,114597.46,35515,146.735
20170928,147.52,148.15,146.79,147.94,53655.26,20661,147.501
20170929,147.93,148.43,147.74,148.29,45337.44,17111,148.135
20171002,148.25,150.2,148.08,150.05,69254.97,23917,149.3
20171003,150,150.48,149.33,150.3,53825.53,19912,149.851
20171004,150.01,150.6,149.39,149.91,38901.83,16639,149.961
20171005,150.02,150.62,149.87,150.29,37934.14,14730,150.22
20171006,150.28,150.34,149.57,150.02,32826.24,12091,149.965
20171009,150.35,150.68,149.18,149.65,27580.26,11247,149.693
20171010,149.83,150.28,149.42,149.86,34636.37,12628,149.852
20171011,149.68,150.19,149.46,149.7,23491.58,10209,149.832
20171012,149.51,150,149.02,149.61,26396.74,10674,149.613
20171013,149.74,150.11,149.23,149.44,26460.24,11504,149.567
20171016,149.65,150.35,149.03,149.42,32060.95,11847,149.475
20171017,149.39,149.76,148.5,148.98,33650.66,14534,149.062
20171018,149.01,149.91,149.01,149.52,31969.54,13424,149.551
20171019,148.52,149.36,148.17,149.29,33245.14,14277,148.808
20171020,150.1,150.32,149.67,150.02,41263.17,15072,150.047
20171023,150.02,150.29,148.64,148.89,34032.04,13973,149.211
20171024,148.88,149.78,148.84,148.94,24306.87,11836,149.406
20171025,148.95,149,147.23,148.69,57198.74,21020,148.268
20171026,148.73,149.33,148.51,148.94,28255.97,12576,148.887
20171027,149.16,149.91,148.3,149.81,61140.69,19995,149.38
20171030,149.49,149.49,147.39,148.15,67675.45,27669,148.345
20171031,148.54,149.82,148.54,149.29,43772.13,17196,149.248
20171101,149.91,150.64,147.44,148.15,68535.46,27310,148.51
20171102,148.05,149.23,147.72,148.66,43857.32,20919,148.559
20171103,148.55,148.96,148.06,148.46,24310,12867,148.587
20171106,148.49,149.38,148.29,148.78,24876.35,12122,148.84
20171107,148.9,149.01,146.52,146.58,47848.41,23331,147.303
20171108,146.75,147.53,145.84,147.53,43901.68,20521,146.751
20171109,147.06,147.38,145.29,146.79,66392.19,32690,146.348
20171110,146.63,147.1,146.24,146.41,35864.38,15705,146.76
20171113,146.5,146.82,145.5,146.41,32413.78,17006,146.314
20171114,146.26,146.49,145.59,145.75,31214.01,15973,146.092
20171115,145.3,146.21,144.5,145.75,40097.05,18160,145.47
20171116,146.22,148.4,146,147.78,46125.43,19675,147.618
20171117,147.38,149.02,147.19,148.4,38332.7,16926,148.226
20171120,148.11,149.64,148.11,149.45,51602.53,15786,149.204
20171121,149.65,151.28,149.65,150.83,37801.82,16392,150.775
20171122,151.04,151.77,150.34,150.59,27652.82,12030,151.214
20171124,150.89,151.59,150.78,151.15,12435.87,5409,151.038
20171127,151.16,151.61,150.33,150.38,34271.74,10953,150.773
20171128,150.75,152.96,150.66,152.72,58078.45,21639,152.11
20171129,152.85,154.21,152.85,153.2,65141.02,24667,153.555
